cartera,alpha,beta_MKT,beta_SMB,beta_HML,alpha_se,alpha_t,beta_MKT_t,beta_SMB_t,beta_HML_t,r2,r2_adj,sigma_residual,rend_medio,n_obs
ME2 BM1,-0.005360767928388713,1.1841473829142473,1.4161450782128573,-0.3256047305881715,0.0012861790537029535,-4.167979499397754,39.35707495193483,32.156824149082595,-7.449316637215689,0.8413703888071504,0.8407358703623791,0.03470750524366794,0.002835992042440317,754
ME2 BM2,-0.0010153929641252253,1.1649253932867243,1.2758203703398159,-0.1881063282075078,0.0012400468564211968,-0.8188343519983369,40.158594383236434,30.048186919833395,-4.463674028567595,0.8331725960547873,0.8325052864390065,0.03346262920992382,0.007267067639257293,754
ME2 BM3,0.0006517616604189164,0.9808629742408788,1.2369926398299038,-0.06738247180044857,0.001091829132921448,0.5969447423288416,38.4036187556281,33.088667118089575,-1.816014956940584,0.8334593000842792,0.8327931372846162,0.029462978149862214,0.00813537400530504,754
ME2 BM4,0.00018177553484963722,0.9508689036016997,1.2450237215417208,0.09733622136405928,0.001167501242313188,0.15569622391962734,34.816233021070765,31.144912185954396,2.4532640373345695,0.8046127615031278,0.8038312125491403,0.03150498787312102,0.007986278514588859,754
ME2 BM5,0.0005661858922709342,0.9452441463475388,1.0899587608721215,0.22184485364188203,0.0008969569230215265,0.6312297477605243,45.04959564650829,35.48994417091812,7.277880716858756,0.8584774725708417,0.8579113824611251,0.02420435709902621,0.008477359416445623,754
ME2 BM6,-0.0008162933196706376,0.9700636364118012,0.948043135763365,0.43143652237057495,0.0008418756481921657,-0.9696126992430968,49.25731835473108,32.888721143681465,15.079818705296551,0.8633378839687167,0.8627912355045916,0.02271799046176524,0.007654954907161803,754
ME2 BM7,0.0009650791282772441,0.936860996378379,0.931057911078502,0.5280678057888363,0.000777900395285689,1.240620436917007,51.48368843330792,34.95582354076743,19.97527928125716,0.8750442771843167,0.8745444542930539,0.020991620078634015,0.009499352785145888,754
ME2 BM8,0.00041620279071012423,0.9427977626248744,1.0173890175513796,0.5797975422209003,0.0007719404215680913,0.5391643954395667,52.20994640282706,38.49196643263778,22.10139815578978,0.8846331908144633,0.8841717235777212,0.020830790357095556,0.009266607427055703,754
ME2 BM9,-5.203599751055137e-05,0.9890037508788301,0.912473342449477,0.7236911671515608,0.0007384079555751955,-0.07047052664812778,57.255875319278644,36.09031348108493,28.839256917823057,0.8934901133795607,0.893064073833079,0.01992591771441735,0.009346047745358091,754
ME2 BM10,0.00199333279123564,1.0875259632522687,1.2492151837726022,0.9139906255835104,0.0018212493391378713,1.094486487050273,25.526349646005468,20.032478393989507,14.767245514123232,0.663588765121288,0.6622431201817731,0.049146361703036406,0.013040640583554378,754
ME3 BM1,-0.0034046304199041007,1.1724069053498847,1.199081205636052,-0.41472331259877987,0.0011456919552300488,-2.9716804803962065,43.74505743036392,30.56663058005419,-10.651671061341682,0.8569322355799471,0.8563599645222669,0.030916464880447917,0.004137664456233423,754
ME3 BM2,0.0003228139141960006,1.0898832967043088,1.0868671924972253,-0.16976842360330321,0.0011063033594142968,0.2917951133827397,42.113782752817656,28.692545852028303,-4.515541582818763,0.836767811704821,0.8361148829516403,0.029853564740782247,0.007932668435013262,754
ME3 BM3,0.0010051682561962449,1.0096762882280308,0.9831577325325144,-0.03772693207268103,0.0009871601721058118,1.0182423122399866,43.72330869023033,29.087233024686185,-1.1245817366629842,0.840540636864475,0.8399027994119329,0.02663848921428282,0.008374312997347479,754
ME3 BM4,-0.0005837303290651416,1.0017485031781672,0.9591003286139016,0.1364223334384914,0.0009025254457361886,-0.6467743727590902,47.447980644249334,31.03640571875436,4.447881205954874,0.8556584314461657,0.8550810651719504,0.024354623526365533,0.007218716180371352,754
ME3 BM5,-0.000256921290348077,1.0178367542918207,0.8082157268758522,0.31177718573644053,0.0008740479808515978,-0.2939441494936637,49.780739325369076,27.0059126774157,10.49629963347731,0.8505952853967227,0.8499976665383095,0.023586159945060338,0.00793874801061008,754
ME3 BM6,0.002120674319155295,0.9948515509891772,0.9059176661141891,0.447883556387138,0.0008419356406858003,2.518808109166035,50.51238490133836,31.425100143453186,15.653569463375995,0.8636943408935565,0.8631491182571307,0.02271960935750251,0.01072657824933687,754
ME3 BM7,0.00024744950967759175,0.9652263666961891,0.7718043906737252,0.566939232801014,0.0007474684289463121,0.3310501154228216,55.201999623537326,30.15652023771294,22.31879888971093,0.8757664435935022,0.8752695093678762,0.02017041433106865,0.008831420424403184,754
ME3 BM8,-0.0007029622545771832,0.9354570775166939,0.801579870616679,0.6494376432039352,0.0007526625897747237,-0.9339673103556055,53.130269833529674,31.103789782402348,25.390092823642465,0.8729956357868563,0.8724876183300038,0.020310578613537352,0.00799163527851459,754
ME3 BM9,0.0020485065147054266,0.9802741540436353,0.9657816078832909,0.718412114703545,0.0007901079882831958,2.5926918156549346,53.037077648815256,35.69926821318399,26.75557912683707,0.8824868125585181,0.8820167598087522,0.021321041629042334,0.011457444297082226,754
ME3 BM10,-0.0013910988439073328,1.1892819963551688,0.9061009078904609,0.9780189814624177,0.0010454707895795922,-1.330595610869937,48.62856211566153,25.312293544059962,27.527231909166325,0.8471036824582672,0.8464920971881003,0.028211999571107645,0.009947583554376659,754
ME4 BM1,-0.0014211303177872848,1.1395697535286886,1.0424047360383717,-0.5042998672306425,0.0011205941859655064,-1.2681935490882776,43.472141602040345,27.167823487676525,-13.24242890799443,0.8506850586029692,0.8500877988373811,0.030239202289484703,0.005428419098143237,754
ME4 BM2,-0.001225595524949887,1.086213722964677,0.906022220205028,-0.173941464667856,0.0010159160818308268,-1.2063944521295378,45.7062864335544,26.04640862176937,-5.038165720494235,0.843868251220132,0.8432437242250125,0.027414466621700547,0.006083190981432361,754
ME4 BM3,-0.0007053251363566723,1.0574934181987918,0.8689512676111555,0.1416185836983871,0.001040774800987996,-0.6776923650410396,43.43495653795923,24.384030246354786,4.003968381453919,0.8185624384714495,0.8178366882253353,0.028085278452304015,0.007312488063660479,754
ME4 BM4,0.0006310849334055371,0.9995859613802591,0.8825073315659373,0.18539834350715304,0.0008866015188890684,0.711802224517166,48.195907700692544,29.070780164716922,6.153249706735107,0.852002688404623,0.8514106991582415,0.023924916812549116,0.008452779840848806,754
ME4 BM5,-0.00024080701124608626,0.9981064329871449,0.6763454070613315,0.3306256630633299,0.0008981597004454331,-0.26811157428535315,47.50526847237611,21.992865399673047,10.832037546277613,0.8267457278266005,0.8260527107379069,0.024236814013657976,0.007698344827586206,754
ME4 BM6,0.0005471191151983798,0.9457670458134462,0.6997769589391877,0.4227293976334678,0.0008628116771992134,0.6341118573805026,46.85831312612911,23.687021836630127,14.416956821707558,0.828705263711163,0.8280200847660077,0.0232829486100508,0.00848120026525199,754
ME4 BM7,0.0016820090044949757,0.9309462182969418,0.7045780261245537,0.4600840283045467,0.0007982390069141054,2.107149600465426,49.85516210184545,25.778817040099337,16.960215725495683,0.8472973595280145,0.8466865489661266,0.021540456935920622,0.009645362068965517,754
ME4 BM8,-1.787459500583018e-05,0.9693643504095789,0.7196565448208344,0.6307303520654429,0.0008295108638104562,-0.021548355525714415,49.955516392909836,25.33786611972298,22.37426685786065,0.8483716216579538,0.8477651081445856,0.022384327106317593,0.008702946949602122,754
ME4 BM9,0.002170547350698843,0.9873794189236766,0.8665339958563036,0.6689932970239081,0.0009068628676175344,2.3934681065960923,46.54370354601324,27.906850246460966,21.707374950967044,0.8422058710346954,0.8415746945188342,0.024471668732674406,0.011329046419098142,754
ME4 BM10,-0.004721232767063002,1.3052106557212206,0.8849340991713813,1.0028393609060116,0.0015804130541368726,-2.9873410338548854,35.30437189677698,16.353366039590703,18.671874699812985,0.7323913878397234,0.7313209533910823,0.04264740139072817,0.007352206896551724,754
ME5 BM1,-0.00257774637644181,1.178498848840008,0.8859646959787802,-0.4542271129239043,0.001051212230692715,-2.452165510615452,47.92446179673616,24.614603654148414,-12.714808095316165,0.8590868822381023,0.8585232297670546,0.02836693219651949,0.0044219442970822274,754
ME5 BM2,9.108587056195271e-05,1.0415561956742332,0.8517678177769414,-0.1602892635861254,0.0009286760229657269,0.09808142808626628,47.94429762726175,26.786984736129533,-5.07887310217318,0.8544380522363755,0.8538558044453209,0.025060296110370125,0.007093567639257296,754
ME5 BM3,0.00017098274485240176,0.9889626795547056,0.8218188314278533,0.030215911222747357,0.0009400563409316374,0.18188563536835495,44.972238652691736,25.532247244294236,0.9458210465515616,0.832384899923007,0.8317144395226991,0.02536739366754094,0.007379770557029177,754
ME5 BM4,0.002323341423061005,1.0434946072694455,0.6414509268451067,0.21646428480075341,0.0009776001669907256,2.3765763361239753,45.6296806015069,19.163242960255715,6.5155659479738315,0.8099709565442352,0.8092108403704121,0.02638051274770449,0.01014376127320955,754
ME5 BM5,-0.0009564902877727451,1.0369447898502688,0.5401272152876867,0.4065867070861718,0.0009360999157494963,-1.0217822602910107,47.353481506770635,16.85158247703668,12.780802704005838,0.809924750684129,0.8091644496868655,0.025260629646341872,0.007238819628647214,754
ME5 BM6,0.001833661348256902,0.9649849407901276,0.5171217875968007,0.43162218562761673,0.0008821132988257218,2.0787140956812356,46.76432318813056,17.121243439360423,14.398145272107367,0.8077360865134826,0.8069670308595365,0.023803802321580806,0.009639431034482759,754
ME5 BM7,0.000792700164830196,0.97837968824519,0.5357013849316824,0.5941448513206733,0.0008987947855734464,0.881959016177914,46.53346266799293,17.40720568011643,19.451762350903834,0.8096550544620474,0.8088936746798956,0.024253951767804444,0.009187566312997348,754
