cartera,alpha,beta_MKT,beta_SMB,beta_HML,alpha_t,beta_MKT_t,beta_SMB_t,beta_HML_t,alpha_se,r2,sigma_residual,rend_medio
ME2 BM3,-0.007970026981545676,1.1009634497985024,1.1453865843712698,0.1422090512715446,-0.39945825265318813,10.330711370328686,8.388880856194401,1.219641353172563,0.01995208993332602,0.8031201960118127,0.13557363693515684,0.10620630645161289
ME2 BM4,-0.0012185132584401652,1.070445463820739,0.9261258483453801,0.15166462255739832,-0.06880551251584828,11.316268453064344,7.641934460882299,1.4654484959294398,0.01770952956944401,0.8095794113614845,0.12033553077213843,0.10630987096774192
ME2 BM5,0.011884481132658206,0.8828533721260463,1.1386799316747134,0.17274806315340635,0.7827617927163921,10.886385125541969,10.95951633594223,1.9469548316135803,0.015182755779910882,0.8451466977327524,0.10316620597938829,0.11025330645161292
ME2 BM6,-0.01705868842403178,1.003467318594851,1.003830815940221,0.4985638763935657,-1.4633480279377429,16.115765627623134,12.58354021555934,7.318399172651257,0.011657300996313319,0.9050243618288916,0.07921088458398738,0.09964401612903227
ME2 BM7,0.020451725908801812,0.8306266081102285,0.9544158666535844,0.4770717581685879,1.670171522938767,12.699384431465143,11.389616191907892,6.666657048288449,0.012245284767408663,0.8706234180377863,0.08320621031540845,0.12202309677419355
ME2 BM8,0.009594185729885825,0.8973137980577852,0.855521853574348,0.6335633071418293,0.6468311480491503,11.325903836395863,8.428576623356873,7.309137239219641,0.014832596974994157,0.8262133531717701,0.10078689118850338,0.11992209677419355
ME2 BM9,0.0008477341120039138,0.961772443956349,0.9498091417504121,0.7519134920816443,0.07424356428274403,15.76947388824086,12.155583963015927,11.26834999423654,0.011418284132688755,0.9065010855861154,0.07758677474894242,0.12245935483870968
ME2 BM10,0.016252312549192058,1.255724685973993,1.0671377601196743,1.0046571446223471,0.5125757691180964,7.414520302397808,4.918172100392054,5.421932158104296,0.03170714171127265,0.6612766139759896,0.21544873409153983,0.17220645161290324
ME3 BM1,-0.04022331907269976,1.1467919156800896,0.7942750959456686,-0.3933978107598256,-2.2200338416262153,11.849827649973026,6.40608894713187,-3.7154115363069002,0.018118335999434788,0.8337174158017998,0.12311335378223591,0.05046022580645158
ME3 BM2,0.015114869203245724,0.9439828522986815,1.2718514387803248,-0.3263475575507171,0.9301104400962058,10.875267582690748,11.436860910170438,-3.436400616389532,0.016250617724151466,0.8675293988838562,0.1104222843154992,0.10276346774193545
ME3 BM3,0.015608705054723284,1.004484999429034,0.5430168672716079,0.06902232008952486,0.9927855184878788,11.961282160959431,5.047103459707348,0.7512273804908421,0.01572213208598878,0.790571003994069,0.10683124596948425,0.10692388709677421
ME3 BM4,-0.0064908904975326445,0.945197583060611,0.7418652543027693,0.17808712224247347,-0.4630975076742456,12.625148174245814,7.734522732990682,2.1741723732509364,0.01401625012004707,0.831265274885259,0.09523984762085724,0.08846264516129033
