cartera,alpha,beta,alpha_t,beta_t,alpha_se,r2,sigma_resid,rend_medio,n_obs
ME2 BM2,-0.01567994154538708,1.5014515293925035,-0.5137277257356948,9.355450792965597,0.03052189079912376,0.5932877830073056,0.2197826623136817,0.09984464516129032,62
ME2 BM3,0.008824392895578542,1.2656545867168643,0.31701705731840646,8.647246272343102,0.027835703763774054,0.5548131424776699,0.20043991117197973,0.10620630645161289,62
ME2 BM4,0.01442960229675866,1.1941507331881944,0.6107953412745973,9.613141623879057,0.023624283490190367,0.6063314807099762,0.17011422899384254,0.10630987096774192,62
ME2 BM5,0.03034990243254452,1.0384896547841351,1.2079766175283837,7.8608270187930245,0.025124577737806575,0.5073592377471834,0.18091757883101772,0.11025330645161292,62
ME2 BM6,0.018749508793404746,1.0513708399314323,0.7886091887946955,8.409936229989642,0.023775412536165545,0.5410283458839991,0.1712024821527296,0.09964401612903227,62
ME2 BM7,0.05466925408283546,0.8753853443870958,2.362019841937408,7.1929079251789165,0.02314512905953995,0.46302922386120493,0.1666639238629832,0.12202309677419355,62
ME2 BM8,0.05188016063639966,0.8843283667078695,2.086459592263234,6.763742396640679,0.02486516433329244,0.4326145159853457,0.17904958942435853,0.11992209677419355,62
ME2 BM9,0.05053082926372697,0.9348416454907197,1.9471453883890188,6.850856053437156,0.025951235878453802,0.4389074410588133,0.18687019586154394,0.12245935483870968,62
ME2 BM10,0.08108871507880873,1.1842402450766936,1.961275541428225,5.447319469077115,0.04134488671579462,0.3309044376238377,0.2977171150784598,0.17220645161290324,62
ME3 BM1,-0.05632630119569511,1.3878845954496681,-2.4279863599247085,11.37766654213049,0.023198771675736175,0.6832959114844894,0.16705019472276286,0.05046022580645158,62
ME3 BM2,0.006451820102017376,1.2517445400123517,0.23229019257848274,8.570954050621923,0.02777482781515854,0.5504313162105319,0.20000155438256442,0.10276346774193545,62
ME3 BM3,0.023661151556999972,1.082150260662838,1.3437903123713328,11.688210737824184,0.017607770601684194,0.6948339511513446,0.1267903985934524,0.10692388709677421,62
ME3 BM4,0.009235951704298384,1.0296945736905707,0.48473442317059445,10.277688936414107,0.01905363279935236,0.6377487312556471,0.13720179299996615,0.08846264516129033,62
ME3 BM5,0.019266735316533008,1.0911878270952022,0.7887436017126024,8.49556108721547,0.024427120897968696,0.546054847293006,0.17589531719862708,0.1032248387096774,62
ME3 BM6,0.05894682844591713,0.9795483893076342,3.027773593528115,9.568716438708275,0.019468704189744022,0.604118054481136,0.14019064764959815,0.13431517741935484,62
ME3 BM7,0.04087176786923435,0.9656293795294882,1.766073914597348,7.935252672809542,0.023142727793787052,0.5120691127337951,0.16664663277890301,0.11516916129032256,62
ME3 BM8,0.03519728514864163,0.8819212897837118,1.4306456443028865,6.8173811187409035,0.02460237815618715,0.436496357670105,0.17715731328709203,0.10305401612903227,62
ME3 BM9,0.08125109556727332,0.8144224959812709,3.361094593628021,6.407167936882808,0.024173998471006895,0.4062451195998965,0.17407262799319417,0.14391433870967746,62
ME3 BM10,0.04750631742752045,0.9836569930181395,1.645252717407038,6.478728351734315,0.028874784356771443,0.41161426981604676,0.2079221441892737,0.12319079032258066,62
ME4 BM1,-0.039284259926489436,1.4168382348319524,-1.5537675926483723,10.657432427369136,0.02528322775707404,0.6543397817857528,0.18205998916988578,0.06973001612903225,62
ME4 BM2,-0.01666112966945563,1.2166680025797103,-0.7634218313324924,10.602225908051519,0.0218242772025198,0.6519866802743022,0.15715270650202623,0.07695166129032259,62
ME4 BM3,0.005063726511616511,1.0773270493626896,0.24331076475788505,9.844722585511649,0.020811765219904473,0.6176360595275969,0.14986178928368374,0.08795535483870967,62
ME4 BM4,0.026364711093697056,1.0624915965518158,1.130211632309763,8.66217785070362,0.023327233891423212,0.5556652407995217,0.16797522810146892,0.10811487096774193,62
ME4 BM5,0.01986379195792164,0.9621528380447883,1.1072487475324628,10.199806698488056,0.017939773697815145,0.6342267595796821,0.12918109335231515,0.09389369354838709,62
ME4 BM6,0.036979892777455205,0.9818154971905452,1.6608959050361798,8.386321082080544,0.02226502736584787,0.5396315164175867,0.16032646939073342,0.11252267741935483,62
ME4 BM7,0.06007566130025428,0.8405517355744243,2.9480075535402044,7.84439253024646,0.02037839463067542,0.5063129985403891,0.14674116538472318,0.12474933870967743,62
ME4 BM8,0.045346970467698054,0.8430929966046283,1.9188502578964233,6.784738676453963,0.023632365413135754,0.4341367150386777,0.17017242547168335,0.11021617741935483,62
ME4 BM9,0.07750950549837474,0.8658902102760289,3.2948140129312735,7.000089684413219,0.023524698266478905,0.44954762515965885,0.16939713365599288,0.14413277419354836,62
ME4 BM10,0.004124042232278486,1.0683700280057717,0.1301831900484494,6.413843187667403,0.03167876152630512,0.40674756090834485,0.22811308096454666,0.08632650000000003,62
ME5 BM1,-0.04360780640399103,1.4332047620844046,-1.701795438364231,10.636927352723918,0.025624587668366845,0.6534680812061251,0.18451806067682033,0.06666574193548386,62
ME5 BM2,0.005451992261573467,1.097423796700999,0.24530187362013417,9.39041626273903,0.0222256445950194,0.595086831084485,0.16004288112030365,0.08988990322580645,62
ME5 BM3,0.022094203504446568,0.9632094547049123,0.9888360895542744,8.198445838059847,0.022343645967053755,0.5283557037782243,0.16089258783975507,0.09620540322580647,62
ME5 BM4,0.04965722445265844,1.0519933514873334,2.679114387873447,10.794105210753107,0.018534940007572418,0.660081130035868,0.13346677922082031,0.1305996290322581,62
ME5 BM5,0.019554508161254695,0.8719162950700591,1.094254212450136,9.27920908791792,0.017870169416547503,0.5893328419889504,0.12867988540467803,0.08664143548387096,62
ME5 BM6,0.0568307918822512,0.8995358677051035,2.6422494448360676,7.953777339740404,0.021508488531739343,0.5132342440413321,0.15487876891246444,0.12604282258064517,62
ME5 BM7,0.04494222640330305,0.9262382531853115,2.353041479674245,9.222794871140577,0.019099632025834434,0.586377894306094,0.1375330251810632,0.11620879032258064,62
ME5 BM8,0.044243400325752524,0.8814835610857251,1.900363237902293,7.200574980596633,0.02328154925507315,0.46355902860073184,0.16764626122749868,0.11206645161290321,62
ME5 BM9,0.06521005687311907,0.8006530844094032,2.631731059690013,6.145201735235558,0.02477838935441984,0.38627404583492764,0.17842473836239936,0.1268138548387097,62
ME5 BM10,0.040519601281305204,0.9327447846216409,1.31235616847853,5.745319956265984,0.030875460682507624,0.3548990675394479,0.22232865564009363,0.11228679032258063,62
ME6 BM1,-0.03569128120480073,1.2600678003307153,-1.6141567631360287,10.837829694687786,0.022111409511092785,0.6618928805754577,0.15922029476612737,0.06126077419354839,62
ME6 BM2,-0.00918734861889448,1.1230013446192055,-0.5586340245085314,12.986206365261861,0.01644609568308558,0.7375805119928667,0.11842538582170228,0.07721854838709678,62
ME6 BM3,0.014431342136305475,1.0494109063284127,0.8336808918343935,11.529315778018928,0.017310390915343407,0.6889985125741445,0.12464902079965394,0.0951750483870968,62
ME6 BM4,0.014804516857194278,0.9557873458942553,0.9803372157181076,12.036697984261403,0.015101453479300803,0.7071486455917311,0.1087428584398915,0.08834464516129033,62
ME6 BM5,0.022835978312235147,0.7221950663762831,1.299607314848827,7.8164918407060835,0.01757144489056025,0.5045316554459531,0.1265288236617484,0.07840306451612905,62
ME6 BM6,0.022965279412243026,0.8379395179525683,1.2496079456805986,8.671206988566395,0.018377987665351307,0.5561796348394483,0.13233659354992752,0.08743796774193546,62
ME6 BM7,0.046453311982792275,0.9229040870926715,2.428866382865365,9.177160904662117,0.01912551151866605,0.5839697506093671,0.13771937876810977,0.11746333870967741,62
ME6 BM8,0.027975014181843484,0.9383974343295537,1.247266438093683,7.956838972920068,0.022429060325394774,0.5134265343284881,0.16150764131725923,0.10017712903225806,62
ME6 BM9,0.06468649324260618,0.771515264748955,2.5434471395848908,5.7692381636744985,0.025432607674780887,0.35680363300733653,0.18313564716977454,0.12404837096774193,62
ME6 BM10,0.1004353869578191,0.7672264398405199,2.7598591058612185,4.009484616384355,0.03639149069041989,0.21131465752481216,0.26204859856630064,0.1594672741935484,62
ME7 BM1,-0.002865129882107509,1.2713170913740284,-0.12302956844644182,10.382068941156383,0.023288140552608534,0.6424045195683128,0.16769372397906812,0.0949524677419355,62
ME7 BM2,-0.001990804201007849,1.1108376363538668,-0.12860271411265023,13.646994228135044,0.015480265830657302,0.7563357293914147,0.11147061825157484,0.08347919354838712,62
ME7 BM3,0.013588619067236124,1.0218915851566661,0.9346703993537488,13.36758099410486,0.01453840741787863,0.7486302670892517,0.10468846471969148,0.09221493548387097,62
ME7 BM4,0.004204442691090569,0.8889758831863964,0.27324503704270714,10.987494256691946,0.015387077974387625,0.6680039284738709,0.11079958920946706,0.07260396774193548,62
ME7 BM5,0.009195005573662946,0.923559587127473,0.5491655077935665,10.490133437351837,0.016743596316903763,0.6471478658348909,0.12056763453659661,0.08025546774193548,62
ME7 BM6,0.018681443448567932,1.022195309866843,0.9769647994095575,10.166400321983241,0.01912192072821695,0.6327033482741671,0.13769352213000347,0.09733112903225806,62
ME7 BM7,0.055908727115090526,0.8364111854067555,3.2948366343715976,9.374302201950243,0.016968588527835653,0.5942588760915113,0.12218776310084245,0.12026382258064518,62
ME7 BM8,0.02777303357567281,1.0030569592294745,1.4569658633584777,10.007290084756113,0.019062240423157687,0.625341535940635,0.1372637749554282,0.10495017741935485,62
ME7 BM9,0.04597314339554073,0.9960990922095577,1.8310721490418589,7.545163205422043,0.025107226615618067,0.4868702400848174,0.18079263651162414,0.12261493548387097,62
ME7 BM10,0.02277360167879656,1.1225347341762983,0.8484801949769561,7.953799035722918,0.02684046347058822,0.5132356069630398,0.19327336429197742,0.10914359677419357,62
ME8 BM1,0.0015394453923747375,1.130154575229072,0.07159862422517659,9.99638727986322,0.02150104710857579,0.6248306078516347,0.15482518455869512,0.08849572580645163,62
ME8 BM2,-0.006434389474951065,1.0143864555272022,-0.474333928398289,14.221490745301312,0.013565104854882389,0.7712113739042459,0.0976798875008062,0.07161446774193551,62
ME8 BM3,0.011120253061661412,0.9220680257791782,0.7416052445281996,11.694614778963503,0.014994841451985663,0.6950661936211181,0.10797516434937161,0.08206595161290323,62
ME8 BM4,0.010743314364873142,0.9274644703542396,0.6682987581870752,10.972219523136818,0.016075616231903567,0.6673865922447395,0.11575762972988009,0.08210422580645159,62
ME8 BM5,0.049456771116852365,0.8434391645889554,3.008472915309584,9.757508685866538,0.016439161165512126,0.6134244188634848,0.11837545160418657,0.1143526129032258,62
ME8 BM6,0.005197825213741508,0.8161378158536027,0.32372702132766523,9.666864198230169,0.01605619818952478,0.6089887323584187,0.11561780388884627,0.06799304838709677,62
ME8 BM7,0.029089536047194442,0.912648575606646,1.5826972954943248,9.443423843008137,0.018379721839424063,0.597796606140802,0.1323490810264451,0.09931048387096775,62
ME8 BM8,0.03873141218624532,0.9352202004973986,1.758587672750797,8.075685692223555,0.022024157672879244,0.5208306856217995,0.15859200992556677,0.11068906451612903,62
ME8 BM9,0.037810855274033106,0.9163361506393486,1.6929606151619963,7.802791649164755,0.02233416119394783,0.5036545810629665,0.160824289689474,0.10831553225806449,62
ME8 BM10,0.019394173781750935,1.0903207750988264,0.7166601052390842,7.662333840872391,0.027061885599563084,0.4945723808057335,0.1948677853362548,0.10328556451612902,62
ME9 BM1,-0.01738924400319052,1.135689067624898,-1.1226759759004707,13.944341474848615,0.015489103157518832,0.7641923387333631,0.11153425425755317,0.06999287096774193,62
ME9 BM2,0.0019671183522993745,0.9878705479954382,0.16272662773025046,15.541502706115422,0.01208848471659007,0.8010203057666145,0.08704701067951831,0.07797579032258065,62
ME9 BM3,0.014956093078611916,0.9404123824262243,1.4149224883266267,16.919895059369672,0.0105702561108488,0.826731239492678,0.07611451874555908,0.08731324193548388,62
ME9 BM4,0.008026727401954582,0.8232558907175113,0.5997632096257902,11.698791241147852,0.013383160675965256,0.6952175310388814,0.09636974009552052,0.07136962903225806,62
ME9 BM5,0.016736509242519865,0.9135511544029365,1.0779118219153245,11.189638612089476,0.01552678883582613,0.676039933343695,0.11180562206906873,0.08702690322580646,62
ME9 BM6,0.02886014823238433,0.7916354623495245,1.9821386767528733,10.340119445395223,0.0145601054915405,0.6405422136269362,0.10484470865712871,0.0897701129032258,62
ME9 BM7,0.03169582306707893,0.7741306745432472,1.7188302573993235,7.983807724273775,0.01844034507225647,0.5151169788564991,0.13278561805482444,0.09125893548387097,62
ME9 BM8,0.014538147876616404,0.7802198624119115,0.8241564152371346,8.411673362396883,0.01764003483784488,0.5411309167172473,0.12702272757226904,0.07456977419354838,62
ME9 BM9,0.03308277701554538,0.9308154085687124,1.5518262322365446,8.303659488095628,0.021318609215585534,0.5347061189564501,0.1535114820069041,0.10470151612903225,62
ME9 BM10,0.01816188488898787,0.7934850613958477,0.5522010754021683,4.588174433836154,0.03288998464148328,0.25972850580121365,0.23683488141464754,0.07921416129032259,62
BIG LoBM,-0.0007836753344854274,1.0786501909144088,-0.0510081794413542,13.352085550578533,0.015363718977393519,0.7481934860881414,0.11063138526095907,0.08220975806451614,62
ME10 BM2,0.012211600749819335,0.9249913536624185,1.1018997865486009,15.873474974948497,0.011082315196800998,0.8076720934007546,0.07980176439862703,0.08338222580645162,62
ME10 BM3,0.004887513930682993,0.9140378451068366,0.4754225475470536,16.909111222337554,0.010280357875115852,0.8265485095950322,0.07402701353597828,0.07521535483870968,62
ME10 BM4,0.006489691357807366,0.8266026194482524,0.3822818399728673,9.260218591348023,0.016976195778141006,0.5883408477687405,0.12224254154612293,0.07009009677419355,62
ME10 BM5,0.00020836725160428395,0.7946357182627314,0.014241382866724515,10.328936740881916,0.014631110865725072,0.6400437725428549,0.10535600562360999,0.06134917741935484,62
ME10 BM6,0.02703736493705174,0.7633496926678667,1.5326102080923125,8.229164092454932,0.017641383826293305,0.5302192042640931,0.1270324413961791,0.08577096774193549,62
ME10 BM7,-0.021306599315482178,0.8873981547794514,-1.2231040574305532,9.68796644292704,0.017420103535787632,0.6100267169508056,0.12543904170528322,0.04697153225806452,62
ME10 BM8,0.0363947318757554,0.7014974894564742,1.4222707105570478,5.213563887369426,0.025589173429227834,0.31177860955346604,0.18426304909143032,0.0903693064516129,62
ME10 BM9,0.021323192487946785,0.8383225863129505,1.0059352289778796,7.521315283642471,0.02119738117693031,0.48528862056212274,0.152638540639737,0.08582535483870968,62
BIG HiBM,0.005055595502007078,0.952052536530583,0.16585134045150113,5.838248212873962,0.03048269304453077,0.37014811925794155,0.21446923700842513,0.07949658333333333,60
