cartera,alpha,beta,alpha_se,beta_se,alpha_t,beta_t,r2,sigma_residual,rend_medio,n_obs
ME7 BM4,-0.0005949836156043598,1.0867406786201155,0.0009581441089154177,0.02127650796937578,-0.6209750809592289,51.077022610303786,0.7762478951581825,0.026077299674256406,0.005895913793103448,754
ME7 BM5,4.935016459570706e-05,1.0541969525690777,0.0010534905426350467,0.023393766884825973,0.0468444305843219,45.06315540200015,0.7297576994567089,0.028672292955374504,0.0063458700265251996,754
ME7 BM6,0.0012791768948361714,1.0389154260671765,0.001064719725864641,0.023643121657506767,1.2014212414420833,43.941550575125405,0.7197020950423534,0.02897791167540894,0.007484423076923077,754
ME7 BM7,0.0036103293130577948,0.9860001549804437,0.0011527852054500167,0.02559870001027265,3.1318317549438173,38.51758700968276,0.6636256560781109,0.03137474309224509,0.009499522546419097,754
ME7 BM8,0.002258551103596132,1.0264377634925104,0.0012325370515629108,0.02736966616620318,1.8324407373654126,37.50275057282153,0.651602860888913,0.03354530675934865,0.008389270557029177,754
ME7 BM9,0.00327097555516491,1.0562954216510856,0.00146234833434169,0.032472845890420224,2.236796444697573,32.528575574052226,0.5845552282436631,0.03979995846965472,0.009580029177718833,754
ME7 BM10,0.0016105787176394599,1.1583377769189893,0.0019865500835779776,0.044403765174518564,0.8107415619437315,26.086476504107587,0.47905823114129553,0.053565761086888805,0.008961808625336928,742
ME8 BM1,-0.0006869538522429609,1.230374865014144,0.001192710909402426,0.02648528852072955,-0.5759600644444006,46.4550297064407,0.7415869530451116,0.0324613797860209,0.006661843501326261,754
ME8 BM2,-0.0010904436834430333,1.1273606167016883,0.000838278028177963,0.01861476679877549,-1.3008138669853535,60.56270427066794,0.8298581386251364,0.022814968174136363,0.005643068965517243,754
ME8 BM3,0.0003559849641064762,1.071669221064443,0.0008902165766604992,0.019768112031944424,0.3998857957036647,54.21201677391707,0.7962580163527596,0.024228552081632427,0.0067568633952254644,754
ME8 BM4,8.013581476987652e-05,1.0802677019348315,0.0009342769693975876,0.02074651526845302,0.0857730816393208,52.06983861899341,0.7828640522099628,0.025427720405561363,0.006532371352785146,754
ME8 BM5,0.0031533678433028445,0.9641167194736668,0.001041635668872536,0.023130518054366098,3.0273232162988832,41.681587814315336,0.6979136878113846,0.02834964514819296,0.008911855437665782,754
ME8 BM6,-0.00019184408037339808,1.0260189711561103,0.001053593797975027,0.02339605976858274,-0.18208543059205184,43.85434903589594,0.718899934413864,0.02867510320115964,0.00593637400530504,754
ME8 BM7,0.0018233456441810211,0.9843069577634093,0.0011442921680279335,0.025410103976843283,1.593426657217592,38.73683313773242,0.6661549842964528,0.031143592600435418,0.007702425729442971,754
ME8 BM8,0.002914505291003973,0.9574613102216073,0.001204425238306528,0.02674541641794758,2.4198308025344013,35.799080308172,0.6302077307271347,0.03278020245838577,0.008633241379310343,754
ME8 BM9,0.002420642848803285,1.0050670127683639,0.0014070989953601188,0.031245981382037682,1.7203074245559884,32.16628085639662,0.5791051743183415,0.03829626653435922,0.008423718832891247,754
ME8 BM10,0.0012247835878515785,1.1746599699700042,0.0019117671101968217,0.04245262041190917,0.6406552248539749,27.669904909815145,0.5044884770438525,0.05203155076163041,0.008240806366047746,754
ME9 BM1,-0.0016791556579555545,1.1827843601861865,0.000933706319608241,0.020733843443121337,-1.798376665866506,57.04607365397018,0.8122935034779127,0.025412189333118944,0.005385392572944298,754
ME9 BM2,-0.00022960054218607666,1.0643647849024769,0.0007964784900845686,0.017686568005832914,-0.28826960808658886,60.17927189443743,0.828057093209616,0.02167733233108891,0.006127649867374006,754
ME9 BM3,0.0009630655947869854,0.9946416213013468,0.0008287636855314295,0.018403491704289458,1.1620509098072236,54.04635366393635,0.7952631931388819,0.022556021360093888,0.006903872679045093,754
ME9 BM4,0.00012811033498423343,0.9986483418278869,0.0009812498440817568,0.02178959295714592,0.13055832391404631,45.831436309615825,0.7363735034644561,0.026706156204834748,0.006092848806366047,754
ME9 BM5,0.001111118661202961,0.937934835006765,0.0009590544836680202,0.021296723713018762,1.1585563491172606,44.04127356140711,0.7206157812215072,0.026102076860713638,0.006713226790450928,754
ME9 BM6,0.0018991146257652037,0.8805807865378129,0.0009609717777988471,0.02133929906621939,1.9762439122980477,41.2656846790152,0.6936684775983699,0.02615425883746227,0.007158657824933687,754
ME9 BM7,0.0019377731546850227,0.9087258890568435,0.0011509598437889736,0.025558166105647234,1.6836149107564433,35.55520710290927,0.6270160881773366,0.0313250631927331,0.00736542175066313,754
ME9 BM8,0.000703457912322224,0.8738633805060614,0.0010891097521085113,0.02418472555917705,0.6459017660619903,36.132863214338535,0.6345227841928314,0.02964172207460279,0.005922879310344829,754
ME9 BM9,0.0028774279543807256,0.9043453585870848,0.001461880502014849,0.032462457225356435,1.9683058570210674,27.85819176623205,0.5078787977819488,0.03978722572551861,0.0082789124668435,754
